Activity Name,Grade,Subject,Thumbnail,URL
Quadrilaterals,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Quadrilaterals.png,https://epaath.olenepal.org/start.html?id=matqud01&lang=en&grade=7
Simlarity and Congruency,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Simlarity-and-Congruency.png,https://epaath.olenepal.org/start.html?id=matsNc01&lang=en&grade=7
Regular Solid Objects,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Regular-Solid-Objects.png,https://epaath.olenepal.org/start.html?id=matrso01&lang=en&grade=7
Tessellation,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Tessellations.png,https://epaath.olenepal.org/start.html?id=mattes01&lang=en&grade=7
"Reflection, Rotation and Displacement",7,math,"https://epaath.olenepal.org/images/main/math/Grade7/Reflection,-Rotation-and-Translation.png",https://epaath.olenepal.org/start.html?id=mattfn01&lang=en&grade=7
Bearing and Scale Drawing,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Bearing-and-Scale-Drawing.png,https://epaath.olenepal.org/start.html?id=matbsd01&lang=en&grade=7
Discrete and Grouped Data and Mean,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Discrete-and-grouped-data-and-mean.png,https://epaath.olenepal.org/start.html?id=matdgm01&lang=en&grade=7
समूहका प्रकारहरू,7,math,https://epaath.olenepal.org/images/thumb/math/types_of_sets_out_img.png,https://epaath.olenepal.org/start.html?id=mattsn01&lang=np&grade=7
सर्वव्यापक समूह र उपसमूहरू,7,math,https://epaath.olenepal.org/images/thumb/math/universal_sets_outside_thumbnail_02.png,https://epaath.olenepal.org/start.html?id=matste01&lang=np&grade=7
पूर्णाङ्क सङ्ख्या,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Integers.png,https://epaath.olenepal.org/start.html?id=matint01&lang=np&grade=7
वर्गमूल,7,math,https://epaath.olenepal.org/images/main/math/Grade7/Square-Root.png,https://epaath.olenepal.org/start.html?id=matsqt01&lang=np&grade=7
"अनुपात, प्रतिशत र समानुपात",7,math,https://epaath.olenepal.org/images/main/math/Grade7/Ratio-percentage-and-proportion.png,https://epaath.olenepal.org/start.html?id=matrpp01&lang=np&grade=7
